attendance,study_hours,internal_marks,assignment_score,cgpa,final_marks
88,4.4,27,6,6.72,100
78,4.3,26,8,6.82,100
64,2.2,16,7,8.95,90
92,4.0,26,8,7.82,100
57,3.8,29,7,6.84,100
70,5.3,18,5,8.12,94
88,5.4,26,6,8.58,100
68,1.3,29,7,6.67,100
72,3.6,17,9,7.28,92
60,5.4,26,10,6.02,100
60,4.5,16,4,6.28,79
73,7.0,10,9,8.43,100
85,5.6,22,9,6.28,100
89,2.1,28,10,7.76,100
73,1.5,28,4,8.55,99
52,5.5,26,9,5.96,100
71,1.2,22,7,7.94,93
51,5.1,25,7,6.6,94
73,7.6,17,7,9.64,100
93,5.0,28,4,7.58,100
79,3.7,27,9,8.97,100
87,5.5,10,4,7.87,76
51,4.2,23,7,5.69,89
70,4.8,28,10,8.22,100
82,7.6,24,9,9.59,100
61,3.7,27,9,8.09,100
71,7.7,11,8,9.02,100
93,7.3,26,8,9.3,100
74,2.4,27,5,6.48,93
98,1.5,15,6,6.41,83
76,1.7,28,8,8.13,100
91,1.1,13,4,7.27,85
77,1.7,10,8,9.11,85
65,5.8,17,5,9.37,94
64,1.5,16,9,7.02,83
96,3.2,12,5,6.52,80
93,6.9,19,9,8.86,100
52,1.2,19,10,6.68,91
86,6.7,28,10,9.04,100
56,3.0,23,9,7.32,95
70,1.8,11,6,8.37,79
58,5.9,10,8,5.91,75
88,5.4,27,4,8.18,100
67,7.1,16,4,7.44,91
53,6.1,17,7,8.02,93
74,6.6,10,9,6.22,100
63,3.0,12,4,8.67,80
99,2.2,17,6,9.21,97
58,6.3,24,9,6.43,100
75,6.6,14,6,5.91,93
51,7.9,12,4,5.6,78
69,3.9,28,4,8.26,95
77,3.6,10,7,8.11,90
96,6.4,24,4,7.85,100
56,3.4,17,9,6.5,94
93,7.5,11,10,7.18,100
57,7.0,12,9,8.06,93
96,4.0,23,9,7.64,100
84,6.3,23,7,9.75,100
63,6.3,20,7,6.09,97
66,1.7,25,4,8.49,94
85,7.3,13,5,7.24,91
99,4.5,29,5,7.34,100
89,6.8,14,7,8.59,100
53,3.2,23,4,8.48,88
51,7.3,25,5,9.76,100
55,3.7,27,4,6.05,84
91,1.1,16,4,5.95,80
53,7.3,19,4,8.61,100
78,1.6,16,8,7.99,86
67,3.2,10,9,6.68,82
75,7.7,28,4,5.84,100
93,7.7,25,8,5.87,100
83,5.0,28,7,9.35,100
59,5.4,13,5,6.33,75
85,4.1,27,9,6.89,100
63,3.1,11,10,6.47,82
80,3.3,10,5,7.03,83
97,5.7,24,9,5.8,100
64,6.3,14,10,7.73,100
57,6.5,29,5,5.79,100
63,6.5,20,9,8.94,100
72,1.6,19,5,6.5,82
89,4.5,11,5,7.82,87
70,1.4,12,10,9.28,93
65,4.8,21,5,8.3,95
94,4.1,29,5,7.79,100
67,7.2,14,10,6.89,100
96,3.5,14,7,6.93,89
73,1.8,15,4,8.38,86
75,2.0,18,6,9.77,100
74,6.3,11,8,8.35,96
94,5.3,21,6,7.9,98
90,1.7,12,6,8.64,85
78,1.6,29,9,7.5,100
64,5.9,21,4,5.76,87
94,1.5,26,9,7.92,100
50,6.8,19,4,9.62,94
74,5.9,23,10,6.25,100
56,1.6,26,10,8.47,100
